"","nearestBuilding","distToNearestBuilding"
"461",NA,0
"462",NA,0
"463",NA,0
"464",NA,0
"465",NA,0
"466",NA,0
"467",NA,0
"468",NA,0
"469",NA,0
"470",NA,0
"471",NA,0
"472",NA,0
"473",NA,0
"474",NA,0
"475",NA,0
"476",NA,0
"477","Hosch Law Library Annex",0
"478","Hosch Law Library Annex",0
"479","Hosch Law Library Annex",0
"480","Hosch Law Library Annex",0
"481","Hosch Law Library Annex",0
"482","Hosch Law Library Annex",0
"483","Hosch Law Library Annex",0
"484","Hosch Law Library Annex",0
"485","Hosch Law Library Annex",0
"486","Hosch Law Library Annex",0
"487",NA,0
"488",NA,0
"489",NA,0
"490",NA,0
"491",NA,0
"492",NA,0
"493",NA,0
"494",NA,0
"495",NA,0
"496",NA,0
"497",NA,0
"498",NA,0
"499",NA,0
"500",NA,0
"501",NA,0
"502",NA,0
"503",NA,0
"504",NA,0
"505","Alexander Campbell King Law Library",0
"506","Alexander Campbell King Law Library",0
"507","Alexander Campbell King Law Library",0
"508","Alexander Campbell King Law Library",0
"509","Alexander Campbell King Law Library",0
"510","Hirsch Hall",0
"511","Hirsch Hall",0
"512","Hirsch Hall",0
"513","Hirsch Hall",0
"514","Hirsch Hall",0
"515","Alexander Campbell King Law Library",0
"516","Alexander Campbell King Law Library",0
"517","Hosch Law Library Annex",0
"518","Alexander Campbell King Law Library",0
"519","Alexander Campbell King Law Library",0
"520","Hosch Law Library Annex",0
"521","Alexander Campbell King Law Library",0
"522","Hirsch Hall",0
"523","Alexander Campbell King Law Library",0
"524","Hirsch Hall",0
"525","Hirsch Hall",0
"526","Hirsch Hall",0
"527","Hirsch Hall",0
"528","Alexander Campbell King Law Library",0
"529","Alexander Campbell King Law Library",0
"530","Alexander Campbell King Law Library",0
"531","Hosch Law Library Annex",0
"532","Alexander Campbell King Law Library",0
"533","Alexander Campbell King Law Library",0
"534","Hosch Law Library Annex",0
"535","Old College",0
"536","Old College",0
"537","Old College",0
"538",NA,0
"539",NA,0
"540",NA,0
"541",NA,0
"542",NA,0
"543",NA,0
"544",NA,0
"545",NA,0
"546",NA,0
"547",NA,0
"548",NA,0
"549",NA,0
"550",NA,0
"551",NA,0
"552","Alexander Campbell King Law Library",0
"553","Alexander Campbell King Law Library",0
"554","Alexander Campbell King Law Library",0
"555","Alexander Campbell King Law Library",0
"556","Conner Hall",0
"557","Conner Hall",0
"558","Conner Hall",0
"559","Conner Hall",0
"560","Conner Hall",0
"561","Conner Hall",0
"562","Conner Hall",0
"563","Conner Hall",0
"564","Conner Hall",0
"565","Conner Hall",0
"566","Conner Hall",0
"567","Conner Hall",0
"568","Conner Hall",0
"569","Conner Hall",0
"570","Conner Hall",0
"571","Conner Hall",0
"572","Fine Arts Scenery Workshop",0
"573","Fine Arts Scenery Workshop",0
"574","Fine Arts Scenery Workshop",0
"575","Fine Arts Scenery Workshop",0
"576","Chemistry Annex",0
"577","Chemistry Annex",0
"578","Chemistry Annex",0
"579","Chemistry Annex",0
"580","Chemistry Annex",0
"581","Chemistry Annex",0
"582","Chemistry Annex",0
"583","Chemistry Annex",0
"584","Chemistry Annex",0
"585","Chemistry Building",0
"586","Chemistry Building",0
"587","Chemistry Building",0
"588","Chemistry Building",0
"589","Chemistry Building",0
"590","Chemistry Building",0
"591","Chemistry Building",0
"592","Chemistry Building",0
"593","Chemistry Building",0
"594","Chemistry Building",0
"595","Chemistry Building",0
"596","Chemistry Building",0
"597","Chemistry Building",0
"598","Chemistry Building",0
"599","Chemistry Annex",0
"600","Chemistry Annex",0
"601","Chemistry Building",0
"602","Chemistry Annex",0
"603","Chemistry Building",0
"604","Chemistry Annex",0
"605","Chemistry Annex",0
"606","Chemistry Annex",0
"607","Chemistry Building",0
"608","Chemistry Building",0
"609",NA,0
"610",NA,0
"611",NA,0
"612",NA,0
"613","Chemistry Building",0
"614","Chemistry Building",0
"615","Chemistry Building",0
"616","Chemistry Building",0
"617","Chemistry Building",0
"618","Chemistry Building",0
"619","Chemistry Building",0
"620","Chemistry Building",0
"621","Chemistry Building",0
"622","Chemistry Building",0
"623","Chemistry Building",0
"624","Chemistry Building",0
"625","Chemistry Building",0
"626","Chemistry Building",0
"627","Chemistry Building",0
"628","Chemistry Building",0
"629","Chemistry Building",0
"630","Chemistry Building",0
"631","Chemistry Building",0
"632","Chemistry Building",0
"633","Chemistry Building",0
"634","Chemistry Storage Building",0
"635","Chemistry Storage Building",0
"636","Chemistry Building",0
"637","Chemistry Storage Building",0
"638","Chemistry Building",0
"639","Chemistry Building",0
"640","Chemistry Building",0
"641","Chemistry Building",0
"642","Chemistry Storage Building",0
"643",NA,0
"644",NA,0
"645",NA,0
"646",NA,0
"647","Memorial Hall",0
"648","Memorial Hall",0
"649","Memorial Hall",0
"650","Memorial Hall",0
"651","Memorial Hall",0
"652","Memorial Hall",0
"653","Memorial Hall",0
"654","Memorial Hall",0
"655","Memorial Hall",0
"656","Memorial Hall",0
"657","Memorial Hall",0
"658","Memorial Hall",0
"659","Memorial Hall",0
"660","Memorial Hall",0
"661","Memorial Hall",0
"662","Memorial Hall",0
"663","Memorial Hall",0
"664","Memorial Hall",0
"665","Memorial Hall",0
"666","Memorial Hall",0
"667","Memorial Hall",0
"668","Memorial Hall",0
"669","Memorial Hall",0
"670","Memorial Hall",0
"671","Memorial Hall",0
"672","Memorial Hall",0
"673","Memorial Hall",0
"674","Memorial Hall",0
"675","Military Building Army ROTC",0
"676","Military Building Army ROTC",0
"677","Military Building Army ROTC",0
"678","Military Building Army ROTC",0
"679","Military Building Army ROTC",0
"680","Military Building Army ROTC",0
"681","Military Building Army ROTC",0
"682","Military Building Army ROTC",0
"683","Military Building Army ROTC",0
"684","Military Building Army ROTC",0
"685","Military Building Army ROTC",0
"686","Military Building Army ROTC",0
"687","Milledge Hall",0
"688","Payne Hall",0
"689","Milledge Hall",0
"690","Milledge Hall",0
"691","Milledge Hall",0
"692","Milledge Hall",0
"693","Milledge Hall",0
"694","Milledge Hall",0
"695","Milledge Hall",0
"696","Milledge Hall",0
"697","Payne Hall",0
"698","Milledge Hall",0
"699","Milledge Hall",0
"700","Milledge Hall",0
"701","Milledge Hall",0
"702","Milledge Hall",0
"703","Milledge Hall",0
"704","Milledge Hall",0
"705","Milledge Hall",0
"706","Milledge Hall",0
"707","Milledge Hall",0
"708","Milledge Hall",0
"709","Milledge Hall",0
"710","Milledge Hall",0
"711","Milledge Hall",0
"712","Payne Hall",0
"713","Payne Hall",0
"714","Payne Hall",0
"715","Payne Hall",0
"716","Payne Hall",0
"717","Payne Hall",0
"718","Payne Hall",0
"719","Payne Hall",0
"720","Payne Hall",0
"721","Payne Hall",0
"722","Payne Hall",0
"723","Payne Hall",0
"724","Payne Hall",0
"725","Payne Hall",0
"726","Milledge Hall",0
"727","Payne Hall",0
"728","Payne Hall",0
"729","Payne Hall",0
"730","Payne Hall",0
"731","Bishop House",0
"732","Bishop House",0
"733","Bishop House",0
"734","Bishop House",0
"735","Bishop House",0
"736","Bishop House",0
"737","Bishop House",0
"738","Bishop House",0
"739","Bishop House",0
"740","Bishop House",0
"741","Human Resources",0
"742","Human Resources",0
"743","Human Resources",0
"744","Human Resources",0
"745","Human Resources",0
"746","Human Resources",0
"747","Tanner Building",0
"748","Human Resources",0
"749","Human Resources",0
"750","Human Resources",0
"751","Human Resources",0
"752","Business Services Annex",0
"753","Business Services Annex",0
"754","Business Services Annex",0
"755","Business Services Annex",0
"756","Business Services Annex",0
"757","Business Services Annex",0
"758","Business Services Annex",0
"759","Tanner Building",0
"760","Tanner Building",0
"761","Tanner Building",0
"762","Tanner Building",0
"763","Tanner Building",0
"764","Tanner Building",0
"765","Tanner Building",0
"766","Tanner Building",0
"767","Tanner Building",0
"768","Business Services Annex",0
"769","Business Services Annex",0
"770","Thomas Street South",0
"771","Thomas Street South",0
"772","Thomas Street South",0
"773","Thomas Street South",0
"774","Thomas Street South",0
"775","Thomas Street South",0
"776","Thomas Street South",0
"777","Thomas Street South",0
"778","Thomas Street South",0
"779","Thomas Street South",0
"780","Thomas Street Art Studio",0
"781","Thomas Street South",0
"782","Thomas Street Sculpture",0
"783","Thomas Street Sculpture",0
"784","Thomas Street Sculpture",0
"785","Thomas Street South",0
"786","Thomas Street Sculpture",0
"787","Thomas Street Sculpture",0
"788","Thomas Street South",0
"789","Thomas Street Sculpture",0
"790","Thomas Street Sculpture",0
"791","Thomas Street Art Studio",0
"792","Thomas Street Sculpture",0
"793","Thomas Street South",0
"794","Thomas Street Sculpture",0
"795","Thomas Street Art Studio",0
"796","Thomas Street Art Studio",0
"797","Thomas Street Sculpture",0
"798","Jewelry & Metalwork Art Studios",0
"799","Jewelry & Metalwork Art Studios",0
"800","Jewelry & Metalwork Art Studios",0
"801","Jewelry & Metalwork Art Studios",0
"802","Jewelry & Metalwork Art Studios",0
"803","Thomas Street Art Studio",0
"804","Jewelry & Metalwork Art Studios",0
"805","Jewelry & Metalwork Art Studios",0
"806","Jewelry & Metalwork Art Studios",0
"807","Jewelry & Metalwork Art Studios",0
"808","Thomas Street Art Studio",0
"809","Alexander Campbell King Law Library",0
"810","Hill Hall",0
"811","Hill Hall",0
"812","Hill Hall",0
"813","Hill Hall",0
"814","Hill Hall",0
"815","Hill Hall",0
"816","Hill Hall",0
"817","Hill Hall",0
"818","Hill Hall",0
"819","Hill Hall",0
"820","Hill Hall",0
"821","Hill Hall",0
"822","Soule Hall",0
"823","Soule Hall",0
"824","Soule Hall",0
"825","Soule Hall",0
"826","Soule Hall",0
"827","Soule Hall",0
"828","Soule Hall",0
"829","Soule Hall",0
"830","Soule Hall",0
"831","Soule Hall",0
"832","Soule Hall",0
"833","Soule Hall",0
"834","Soule Hall",0
"835","Soule Hall",0
"836","Soule Hall",0
"837","Soule Hall",0
"838","Soule Hall",0
"839","Soule Hall",0
"840","Dawson Hall",0
"841","Speirs Hall",0
"842","Dawson Hall",0
"843","Dawson Hall",0
"844","Dawson Hall",0
"845","Speirs Hall",0
"846","Speirs Hall",0
"847","Dawson Hall",0
"848","Speirs Hall",0
"849","Dawson Hall",0
"850","Speirs Hall",0
"851","Speirs Hall",0
"852","Dawson Hall",0
"853","Dawson Hall",0
"854","Speirs Hall",0
"855","Speirs Hall",0
"856","Speirs Hall",0
"857","Speirs Hall",0
"858","Dawson Hall",0
"859","Dawson Hall",0
"860","Speirs Hall",0
"861","Dawson Hall",0
"862","Dawson Hall",0
"863","Speirs Hall",0
"864","Dawson Hall",0
"865","Dawson Hall",0
"866","Speirs Hall",0
"867","Speirs Hall",0
"868","Dawson Hall",0
"869","Dawson Hall",0
"870","Dawson Hall",0
"871","Dawson Hall",0
"872","Dawson Hall",0
"873","Dawson Hall",0
"874","Dawson Hall",0
"875","Dawson Hall",0
"876","Boggs Hall",0
"877","Boggs Hall",0
"878","Boggs Hall",0
"879","Boggs Hall",0
"880","Boggs Hall",0
"881","Boggs Hall",0
"882","Boggs Hall",0
"883","Boggs Hall",0
"884","Church Hall",0
"885","Church Hall",0
"886","Church Hall",0
"887","Church Hall",0
"888","Church Hall",0
"889","Church Hall",0
"890","Church Hall",0
"891","Brumby Hall",0
"892","Brumby Hall",0
"893","Russell Hall",0
"894","Brumby Hall",0
"895","Creswell Hall",0
"896","Russell Hall",0
"897","Brumby Hall",0
"898","Brumby Hall",0
"899","Brumby Hall",0
